trait_name,tissue,category,other_tags,nrow,description,TRY name,TRY number,TRY notes,Top_Formal_name,Top_identifier,Top_link,type,units
accessory_cost_fraction,reproductive,allocation,,,,Plant biomass and allometry: Reproductive dry mass per plant dry mass (reproductive weight fraction),1046,"similar, not identical",,,,,
accessory_cost_mass,reproductive,allocation,,,,,,,,,,,
bark_C_per_dry_mass,bark,nutrient,,,,Bark carbon (C) content per bark dry mass,617,,,,,,
bark_Ca_per_dry_mass,bark,nutrient,,,,Bark calcium (Ca) content per bark dry mass,2957,,,,,,
bark_delta13C,bark,physiology,isotope,,,Bark carbon (C) isotope signature (delta 13C),829,,,,,,
bark_delta15N,bark,physiology,isotope,,,Bark nitrogen (N) isotope signature (delta 15N),832,,,,,,
bark_density,bark,allocation,,,,Bark density (bark dry mass per bark volume),248,,,,,,
bark_K_per_dry_mass,bark,nutrient,,,,Bark potassium (K) content per bark dry mass,2960,,,,,,
bark_mass_area,bark,morphology,,1,Bark mass per unit surface area of stem,,,,,,,numeric,g/cm2
bark_Mg_per_dry_mass,bark,nutrient,,,,Bark magnesium (Mg) content per bark dry mass,2961,,,,,,
bark_N_per_dry_mass,bark,nutrient,,,,Bark nitrogen (N) content per bark dry mass,618,,,,,,
bark_Na_per_dry_mass,bark,nutrient,,,,,,,,,,,
bark_P_per_dry_mass,bark,nutrient,,,,Bark phosphorus (P) content per bark dry mass,619,,,,,,
bark_thickness,bark,morphology,,2,Thickness of the bark of the stem,Bark thickness,24,,stem bark thickness,TOP283,http://top-thesaurus.org/annotationInfo?viz=1&trait=Bark%20thickness,numeric,mm
bark_water_content_per_saturated_mass,bark,allocation,,,,,,,,,,,
basal_diameter,stem,allocation,,199,"Diameter at the base of the plant, standardly ""DBH"" except in short plants",Stem diameter,21,,,,,numeric,mm
branch_mass_fraction,stem,allocation,,3,Fraction of plant dry mass comprised of branch material,Plant biomass and allometry: branch dry mass per plant dry mass,137,,,,,numeric,mg/mg
bulk_modulus_of_elasticity,stem,physiology,,,,Leaf elastic modulus,190,,,,,,
ca,leaf,physiology,,,,,,,,,,,
carotenoid_per_area,leaf,nutrient,,,,Leaf carotenoid content per leaf area,491,,,,,,
carotenoid_per_dry_mass,leaf,nutrient,,,,Leaf carotenoid content per leaf dry mass,809,,,,,,
cc,leaf,physiology,,,,Leaf photosynthesis CO2 concentration at chloroplast,3007,,,,,,
cell_cross-sectional_area,leaf,morphology,cellular_scale,,,Leaf epidermis cell area; Leaf mesophyll cell area,338; 573,,,,,,
cell_epidermis_Ca_per_fresh_mass,leaf,nutrient,cellular_scale,5,Ca content of epidermal cells,,,,,,,numeric,umol/g
cell_epidermis_P_per_fresh_mass,leaf,nutrient,cellular_scale,11,P content of epidermal cells,,,,,,,numeric,umol/g
cell_hypodermis_Ca_per_fresh_mass,leaf,nutrient,cellular_scale,6,Ca content of hypodermis cells,,,,,,,numeric,umol/g
cell_hypodermis_P_per_fresh_mass,leaf,nutrient,cellular_scale,12,P content of hypodermis cells,,,,,,,numeric,umol/g
cell_internal_parenchyma_Ca_per_fresh_mass,leaf,nutrient,cellular_scale,7,Ca content of internal parenchyma cells,,,,,,,numeric,umol/g
cell_internal_parenchyma_P_per_fresh_mass,leaf,nutrient,cellular_scale,13,P content of internal parenchyma cells,,,,,,,numeric,umol/g
cell_palisade_mesophyll_Ca_per_fresh_mass,leaf,nutrient,cellular_scale,8,Ca content of palisade mesophyll cells,,,,,,,numeric,umol/g
cell_palisade_mesophyll_P_per_fresh_mass,leaf,nutrient,cellular_scale,14,P content of palisade mesophyll cells,,,,,,,numeric,umol/g
cell_rubisco_concentration,leaf,nutrient,cellular_scale,,,Leaf Rubisco content per leaf area,504,"similar, not identical",,,,,
cell_rubisco_N_per_total_N,leaf,nutrient,cellular_scale,,,Leaf nitrogen (N) fraction in Rubisco,187,,,,,,
cell_sclerenchyma_Ca_per_fresh_mass,leaf,nutrient,cellular_scale,9,Ca content of sclerenchyma cells,,,,,,,numeric,umol/g
cell_sclerenchyma_P_per_fresh_mass,leaf,nutrient,cellular_scale,15,P content of sclerenchyma cells,,,,,,,numeric,umol/g
cell_spongy_mesophyll_Ca_per_fresh_mass,leaf,nutrient,cellular_scale,10,Ca content of spongy mesophyll cells,,,,,,,numeric,umol/g
cell_spongy_mesophyll_P_per_fresh_mass,leaf,nutrient,cellular_scale,16,P content of spongy mesophyll cells,,,,,,,numeric,umol/g
cell_thylakoid_N_per_total_N,leaf,nutrient,cellular_scale,,,,,,,,,,
chlorophyll_A_B_ratio,leaf,nutrient,,18,Ratio of chlorophyll A to chlorophyll B,Leaf chlorophyll a/b ratio,416,,,,,numeric,umol/umol
chlorophyll_A_per_area,leaf,physiology,molecular,,,Leaf chlorophyll content per leaf area (Chl a),3476,,,,,,
chlorophyll_A_per_dry_mass,leaf,physiology,molecular,,,Leaf chlorophyll content per leaf dry mass (Chl a),3474,,,,,,
chlorophyll_B_per_area,leaf,physiology,molecular,,,Leaf chlorophyll content per leaf area (Chl b),3477,,,,,,
chlorophyll_B_per_dry_mass,leaf,physiology,molecular,,,Leaf chlorophyll content per leaf dry mass (Chl b),3475,,,,,,
chlorophyll_per_area,leaf,physiology,molecular,,,Leaf chlorophyll content per leaf area,413,,,,,,
chlorophyll_per_dry_mass,leaf,physiology,molecular,,,Leaf chlorophyll content per leaf dry mass,164,,,,,,
